// Name, URL, Crawling Page Size
TV, "https://prod.danawa.com/list/?cate=10248425", 3
프로젝터/스크린, "https://prod.danawa.com/list/?cate=10224476", 3
셋톱박스/미러링, "https://prod.danawa.com/list/?cate=10247180", 3
블루레이/DVD, "https://prod.danawa.com/list/?cate=10253453", 3
액세서리, "https://prod.danawa.com/list/?cate=1022804", 3
HIFI/AV 스피커, "https://prod.danawa.com/list/?cate=10222639", 3
DAC/앰프, "https://prod.danawa.com/list/?cate=1022809", 3
사운드바, "https://prod.danawa.com/list/?cate=1024257", 3
PA음향, "https://prod.danawa.com/list/?cate=1022806", 3
마이크, "https://prod.danawa.com/list/?cate=10214913", 3
올인원스피커, "https://prod.danawa.com/list/?cate=10224954", 3
오디오/플레이어, "https://prod.danawa.com/list/?cate=1022807", 3
AV/리시버, "https://prod.danawa.com/list/?cate=10252676", 3
이어폰/헤드폰, "https://prod.danawa.com/list/?cate=11252453", 3
액세서리, "https://prod.danawa.com/list/?cate=1022810", 3
냉장고, "https://prod.danawa.com/list/?cate=102110", 3
김치냉장고, "https://prod.danawa.com/list/?cate=102122", 3
냉동고, "https://prod.danawa.com/list/?cate=10253551", 3
전기밥솥, "https://prod.danawa.com/list/?cate=102123", 3
식기세척기, "https://prod.danawa.com/list/?cate=102313", 3
식기건조기, "https://prod.danawa.com/list/?cate=10253373", 3
오븐, "https://prod.danawa.com/list/?cate=102124", 3
전자레인지, "https://prod.danawa.com/list/?cate=10252984", 3
인덕션, "https://prod.danawa.com/list/?cate=102132", 3
정수기, "https://prod.danawa.com/list/?cate=10248475", 3
세탁기, "https://prod.danawa.com/list/?cate=10251634", 3
건조기, "https://prod.danawa.com/list/?cate=10221615", 3
청소기, "https://prod.danawa.com/list/?cate=10254654", 3
히터/난방기기, "https://prod.danawa.com/list/?cate=1022923", 3
면도기/제모기, "https://prod.danawa.com/list/?cate=10248399", 3
헤어기기, "https://prod.danawa.com/list/?cate=10248567", 3
갤럭시북, "https://prod.danawa.com/list/?cate=11352253", 3
그램, "https://prod.danawa.com/list/?cate=11352254", 3
맥북, "https://prod.danawa.com/list/?cate=11343778", 3
게이밍노트북, "https://prod.danawa.com/list/?cate=11252476", 3
브랜드PC, "https://prod.danawa.com/list/?cate=11236094", 3
조립PC, "https://prod.danawa.com/list/?cate=11236849", 3
일체형PC, "https://prod.danawa.com/list/?cate=11231122", 3
맥, "https://prod.danawa.com/list/?cate=11351196", 3
일반모니터, "https://prod.danawa.com/list/?cate=112757", 3
게이밍모니터, "https://prod.danawa.com/list/?cate=11252480", 3
모니터 주변기기, "https://prod.danawa.com/list/?cate=11230088", 3
복합기, "https://prod.danawa.com/list/?cate=112994", 3
프린터, "https://prod.danawa.com/list/?cate=1121001", 3
CPU, "https://prod.danawa.com/list/?cate=112747", 3
RAM, "https://prod.danawa.com/list/?cate=112752", 3
VGA, "https://prod.danawa.com/list/?cate=112753", 3
메인보드, "https://prod.danawa.com/list/?cate=112751", 3
SSD, "https://prod.danawa.com/list/?cate=112760", 3
HDD, "https://prod.danawa.com/list/?cate=112763", 3
파워, "https://prod.danawa.com/list/?cate=112777", 3
쿨러, "https://prod.danawa.com/list/?cate=11236855", 3
케이스, "https://prod.danawa.com/list/?cate=112775", 3
키보드, "https://prod.danawa.com/list/?cate=112782", 3
마우스, "https://prod.danawa.com/list/?cate=112787", 3
공유기, "https://prod.danawa.com/list/?cate=112804", 3
웹캠, "https://prod.danawa.com/list/?cate=11253489", 3
헤드셋, "https://prod.danawa.com/list/?cate=11252451", 3
